Student Answer,Correct Answer,Expected Result,Last Test Result,Last Tested
"x^{2}","x^2",accept,PASS,2026-06-13T06:59:29.668Z
"(ab)^2","(ba)^2",accept,PASS,2026-06-13T06:59:29.668Z
"-\frac{2}{3}(b+a)(d+c)","-\frac{2(a+b)(c+d)}{3}",accept,FAIL,2026-06-13T06:59:29.668Z
"-\frac{1}{2}(x-a)(x-b)","\frac{(a-x)(x-b)}{2}",accept,FAIL,2026-06-13T06:59:29.669Z
"\frac{3}{4}(y+x)(b+a)","\frac{3(a+b)(x+y)}{4}",accept,FAIL,2026-06-13T06:59:29.669Z
"--x","x",accept,PASS,2026-06-13T06:59:29.669Z
"0","0",accept,PASS,2026-06-13T06:59:29.669Z
"1","1",accept,PASS,2026-06-13T06:59:29.669Z
"x","x",accept,PASS,2026-06-13T06:59:29.669Z
"\frac{2}{3}x","\frac{2x}{3}",accept,FAIL,2026-06-13T06:59:29.669Z
"\left(x+a\right)","(x+a)",accept,PASS,2026-06-13T06:59:29.669Z
"x^{2}","x²",accept,PASS,2026-06-13T06:59:29.669Z
"\frac{x}{y}","x\frac{1}{y}",accept,PASS,2026-06-13T06:59:29.669Z
"\frac{2x}{y}","2\frac{x}{y}",accept,PASS,2026-06-13T06:59:29.669Z
"\frac{xy}{z}","\frac{x}{z}y",accept,PASS,2026-06-13T06:59:29.670Z
"5-25x^{2}-30x","-25x^{2}-30x+5",accept,PASS,2026-06-13T06:59:29.670Z
"\frac{5}{\left(1-x\right)}","-\frac{5}{x-1}",accept,PASS,2026-06-13T06:59:29.670Z
"\frac{20\sqrt{3}+36-5\sqrt{2}-3\sqrt{6}}{-2}","\frac{-36+5\sqrt{2}-20\sqrt{3}+3\sqrt{6}}{2}",accept,PASS,2026-06-13T06:59:29.670Z
"-\left(x-a\right)\left(x-b\right)","\left(a-x\right)\left(x-b\right)",accept,PASS,2026-06-13T06:59:29.671Z
"2\left(x+\frac12\right)^2-5.5","2\left(x+\frac12\right)^2-\frac{11}{2}",accept,PASS,2026-06-13T06:59:29.671Z
"5.5a","\frac{11}{2}a",accept,PASS,2026-06-13T06:59:29.671Z
