Student Answer,Correct Answer,Expected Result,Last Test Result,Last Tested
"-(x+a)(x+b)","-(x+b)(x+a)",accept,PASS,2026-04-06T11:24:18.034Z
"2(x+a)(x+b)","2(x+b)(x+a)",accept,PASS,2026-04-06T11:24:18.034Z
"(a+x)(b+x)","(x+a)(x+b)",accept,PASS,2026-04-06T11:24:18.034Z
"abc","bca",accept,PASS,2026-04-06T11:24:18.034Z
"2xy","2yx",accept,PASS,2026-04-06T11:24:18.035Z
"-(x+a)(x+b)(x+c)","-(x+c)(x+a)(x+b)",accept,PASS,2026-04-06T11:24:18.035Z
"3(a+b)(c+d)","3(c+d)(a+b)",accept,PASS,2026-04-06T11:24:18.035Z
"(x+1)(x+2)(x+3)","(x+3)(x+1)(x+2)",accept,PASS,2026-04-06T11:24:18.036Z
"(a-x)(x-b)","-(x-a)(x-b)",accept,PASS,2026-04-06T11:24:18.036Z
"(a-x)(b-x)","-(x-a)(x-b)",reject,PASS,2026-04-06T11:24:18.043Z
"(5-x)(x-3)","-(x-5)(x-3)",accept,PASS,2026-04-06T11:24:18.044Z
"(a-b)(c-d)","-(b-a)(c-d)",accept,PASS,2026-04-06T11:24:18.044Z
"-(a-x)(x-b)","(x-a)(x-b)",accept,PASS,2026-04-06T11:24:18.044Z
"-2(a-x)(x-b)","2(x-a)(x-b)",accept,PASS,2026-04-06T11:24:18.045Z
"a+b","b+a",accept,PASS,2026-04-06T11:24:18.045Z
"x+y+z","z+y+x",accept,PASS,2026-04-06T11:24:18.045Z
"2x+3y","3y+2x",accept,PASS,2026-04-06T11:24:18.045Z
"a+b+c+d","d+c+b+a",accept,PASS,2026-04-06T11:24:18.045Z
"a-b","-b+a",accept,PASS,2026-04-06T11:24:18.046Z
"x-y+z","z+x-y",accept,PASS,2026-04-06T11:24:18.046Z
"2x-3y+4z","4z+2x-3y",accept,PASS,2026-04-06T11:24:18.046Z
"-3ab","-3ba",accept,PASS,2026-04-06T11:24:18.047Z
"(-2)(-3)x","6x",accept,PASS,2026-04-06T11:24:18.047Z
"1(x+a)","(x+a)",accept,PASS,2026-04-06T11:24:18.047Z
"0+x","x",accept,PASS,2026-04-06T11:24:18.047Z
"x+0+y","x+y",accept,PASS,2026-04-06T11:24:18.047Z
"0+(x+a)","(x+a)",accept,PASS,2026-04-06T11:24:18.048Z
"2+3+x","5+x",reject,PASS,2026-04-06T11:24:18.048Z
"x+2+3","x+5",reject,PASS,2026-04-06T11:24:18.048Z
"1+2+3+x+4+5","x+15",reject,PASS,2026-04-06T11:24:18.048Z
"(x)","x",accept,PASS,2026-04-06T11:24:18.048Z
"((x))","x",accept,PASS,2026-04-06T11:24:18.048Z
"(x+a)","x+a",accept,PASS,2026-04-06T11:24:18.049Z
"2(x)","2x",accept,PASS,2026-04-06T11:24:18.049Z
"2x+3x","5x",reject,PASS,2026-04-06T11:24:18.049Z
"x+x","2x",reject,PASS,2026-04-06T11:24:18.049Z
"2(x+1)","2x+2",reject,PASS,2026-04-06T11:24:18.049Z
"(x+a)(x+b)","x^2+(a+b)x+ab",reject,PASS,2026-04-06T11:24:18.049Z
"x^2-1","(x+1)(x-1)",reject,PASS,2026-04-06T11:24:18.050Z
"(x+2)^2","x^2+4x+4",reject,PASS,2026-04-06T11:24:18.050Z
"x^{2}","x^2",accept,PASS,2026-04-06T11:24:18.050Z
"(ab)^2","(ba)^2",accept,PASS,2026-04-06T11:24:18.050Z
"-\frac{2}{3}(b+a)(d+c)","-\frac{2(a+b)(c+d)}{3}",accept,PASS,2026-04-06T11:24:18.051Z
"-\frac{1}{2}(x-a)(x-b)","\frac{(a-x)(x-b)}{2}",accept,PASS,2026-04-06T11:24:18.051Z
"\frac{3}{4}(y+x)(b+a)","\frac{3(a+b)(x+y)}{4}",accept,PASS,2026-04-06T11:24:18.052Z
"--x","x",accept,PASS,2026-04-06T11:24:18.052Z
"0","0",accept,PASS,2026-04-06T11:24:18.052Z
"1","1",accept,PASS,2026-04-06T11:24:18.052Z
"x","x",accept,PASS,2026-04-06T11:24:18.052Z
"\frac{2}{3}x","\frac{2x}{3}",accept,PASS,2026-04-06T11:24:18.052Z
"\left(x+a\right)","(x+a)",accept,PASS,2026-04-06T11:24:18.053Z
"x^{2}","x²",accept,PASS,2026-04-06T11:24:18.053Z
"\frac{x}{y}","x\frac{1}{y}",accept,PASS,2026-04-06T11:24:18.053Z
"\frac{2x}{y}","2\frac{x}{y}",accept,PASS,2026-04-06T11:24:18.053Z
"\frac{xy}{z}","\frac{x}{z}y",accept,PASS,2026-04-06T11:24:18.054Z
"5-25x^{2}-30x","-25x^{2}-30x+5",accept,FAIL,2026-04-06T11:24:18.054Z
"\frac{5}{\left(1-x\right)}","-\frac{5}{x-1}",accept,PASS,2026-04-06T11:24:18.055Z
"\frac{20\sqrt{3}+36-5\sqrt{2}-3\sqrt{6}}{-2}","\frac{-36+5\sqrt{2}-20\sqrt{3}+3\sqrt{6}}{2}",accept,PASS,2026-04-06T11:24:18.056Z
"-\left(x-a\right)\left(x-b\right)","\left(a-x\right)\left(x-b\right)",accept,PASS,2026-04-06T11:24:18.056Z
